review,sentiment,total_words,total_chars,sequence,padded
excellent sound battery life inconspicuous boot,1,6,47,"[34, 35, 41, 92, 3473, 1189]","[  34   35   41   92 3473 1189    0    0    0    0    0    0    0    0
    0    0]"
great bluetooth,1,2,15,"[3, 169]",[  3 169   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
highly recommend case,1,3,21,"[116, 40, 52]",[116  40  52   0   0   0   0   0   0   0   0   0   0   0   0   0]
worthwhile,1,1,10,[1112],"[1112    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
phone got year old slowly breaking despite much care part,0,10,57,"[4, 53, 58, 247, 3474, 1057, 546, 33, 380, 135]","[   4   53   58  247 3474 1057  546   33  380  135    0    0    0    0
    0    0]"
sorry made purchase,0,3,19,"[1107, 28, 210]","[1107   28  210    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
bought hoping could make bluetooth headset fit better thing made impossible wear,0,12,80,"[140, 1144, 37, 29, 169, 27, 105, 36, 31, 28, 1587, 394]","[ 140 1144   37   29  169   27  105   36   31   28 1587  394    0    0
    0    0]"
treo t mobile refused replace forced buy another phone without kind upgrade discount,0,13,84,"[891, 74, 686, 1755, 705, 1006, 150, 136, 4, 244, 204, 3475, 1756]","[ 891   74  686 1755  705 1006  150  136    4  244  204 3475 1756    0
    0    0]"
think would hold securly belt,0,5,29,"[45, 17, 309, 3476, 699]","[  45   17  309 3476  699    0    0    0    0    0    0    0    0    0
    0    0]"
allows possibility double booking date time first,0,7,49,"[1748, 3477, 1190, 3478, 896, 8, 42]","[1748 3477 1190 3478  896    8   42    0    0    0    0    0    0    0
    0    0]"
work week break,0,3,15,"[14, 287, 444]",[ 14 287 444   0   0   0   0   0   0   0   0   0   0   0   0   0]
simple use like it,1,4,18,"[513, 44, 11, 7]",[513  44  11   7   0   0   0   0   0   0   0   0   0   0   0   0]
great tool entertainment communication data management oh sure use activesync optimal data synchronization result,1,14,113,"[3, 696, 3479, 1647, 700, 525, 371, 188, 44, 3480, 3481, 700, 3482, 588]","[   3  696 3479 1647  700  525  371  188   44 3480 3481  700 3482  588
    0    0]"
can t use case smell disgusting,0,6,31,"[106, 74, 44, 52, 845, 812]",[106  74  44  52 845 812   0   0   0   0   0   0   0   0   0   0]
wanted,0,1,6,[429],[429   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
case would order another,1,4,24,"[52, 17, 170, 136]",[ 52  17 170 136   0   0   0   0   0   0   0   0   0   0   0   0]
bought battery coupon amazon happy purchase,1,6,43,"[140, 41, 1757, 396, 120, 210]","[ 140   41 1757  396  120  210    0    0    0    0    0    0    0    0
    0    0]"
internet access fine rare instance worked,0,6,41,"[520, 1741, 141, 591, 3483, 133]","[ 520 1741  141  591 3483  133    0    0    0    0    0    0    0    0
    0    0]"
perfect p,1,2,9,"[202, 1561]","[ 202 1561    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
five star plus plus,1,4,19,"[768, 81, 417, 417]",[768  81 417 417   0   0   0   0   0   0   0   0   0   0   0   0]
good quality bargain bought bought cheapy big lot sounded awful people end hear me,1,14,82,"[1, 24, 692, 140, 140, 3484, 151, 79, 1037, 137, 68, 154, 224, 103]","[   1   24  692  140  140 3484  151   79 1037  137   68  154  224  103
    0    0]"
drain,0,1,5,[875],[875   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
tried talking real loud shouting telephone get old still told great,0,11,67,"[211, 1758, 91, 593, 3485, 1365, 25, 247, 56, 570, 3]","[ 211 1758   91  593 3485 1365   25  247   56  570    3    0    0    0
    0    0]"
good work fine,1,3,14,"[1, 14, 141]",[  1  14 141   0   0   0   0   0   0   0   0   0   0   0   0   0]
price great deal,1,3,16,"[47, 3, 349]",[ 47   3 349   0   0   0   0   0   0   0   0   0   0   0   0   0]
great price too,1,3,15,"[3, 47, 179]",[  3  47 179   0   0   0   0   0   0   0   0   0   0   0   0   0]
wind completely useless,0,3,23,"[751, 246, 522]",[751 246 522   0   0   0   0   0   0   0   0   0   0   0   0   0]
yes shiny front side love it,1,6,28,"[743, 3486, 463, 196, 26, 7]","[ 743 3486  463  196   26    7    0    0    0    0    0    0    0    0
    0    0]"
work,0,1,4,[14],[14  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
first thought grtting good deal plugged phone vc razr,0,9,53,"[42, 128, 3487, 1, 349, 1157, 4, 3488, 683]","[  42  128 3487    1  349 1157    4 3488  683    0    0    0    0    0
    0    0]"
reception headset excellent,1,3,27,"[183, 27, 34]",[183  27  34   0   0   0   0   0   0   0   0   0   0   0   0   0]
thumb seller,1,2,12,"[709, 877]",[709 877   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
verizon lg phone work well together good reception range exceeds foot line sight,1,13,80,"[393, 882, 4, 14, 16, 411, 1, 183, 592, 3489, 798, 130, 3490]","[ 393  882    4   14   16  411    1  183  592 3489  798  130 3490    0
    0    0]"
improper description return it,0,4,30,"[3491, 1143, 317, 7]","[3491 1143  317    7    0    0    0    0    0    0    0    0    0    0
    0    0]"
work comfortable,1,2,16,"[14, 142]",[ 14 142   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
battery charge life quite long,1,5,30,"[41, 195, 92, 97, 89]",[ 41 195  92  97  89   0   0   0   0   0   0   0   0   0   0   0]
jabra eargels fit ear well,1,5,26,"[395, 1720, 105, 49, 16]","[ 395 1720  105   49   16    0    0    0    0    0    0    0    0    0
    0    0]"
battery life,0,2,12,"[41, 92]",[41 92  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
checked everywhere feature really disappointing,0,5,47,"[897, 1115, 306, 13, 369]","[ 897 1115  306   13  369    0    0    0    0    0    0    0    0    0
    0    0]"
product exactly described,1,3,25,"[30, 574, 1705]","[  30  574 1705    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
get signal verizon phone won t,1,6,30,"[25, 518, 393, 4, 3492, 74]","[  25  518  393    4 3492   74    0    0    0    0    0    0    0    0
    0    0]"
job,0,1,3,[138],[138   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
would recommend it,1,3,18,"[17, 40, 7]",[17 40  7  0  0  0  0  0  0  0  0  0  0  0  0  0]
plan ordering again,1,3,19,"[868, 1759, 69]","[ 868 1759   69    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
said phone camera nice many cool effect play with video decent well,1,12,67,"[219, 4, 164, 32, 117, 200, 263, 295, 512, 676, 419, 16]",[219   4 164  32 117 200 263 295 512 676 419  16   0   0   0   0]
satisfied cell phone day one,1,5,28,"[701, 229, 4, 87, 6]",[701 229   4  87   6   0   0   0   0   0   0   0   0   0   0   0]
keep getting better better this third one numerous palm too,1,10,59,"[291, 280, 36, 36, 111, 894, 6, 1721, 704, 179]","[ 291  280   36   36  111  894    6 1721  704  179    0    0    0    0
    0    0]"
awkward use unreliable,0,3,22,"[1760, 44, 876]","[1760   44  876    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
shipping time also quick,1,4,24,"[693, 8, 23, 438]",[693   8  23 438   0   0   0   0   0   0   0   0   0   0   0   0]
good hoped,0,2,10,"[1, 3493]","[   1 3493    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
good case,1,2,9,"[1, 52]",[ 1 52  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
really good product,1,3,19,"[13, 1, 30]",[13  1 30  0  0  0  0  0  0  0  0  0  0  0  0  0]
unfortunately work,0,2,18,"[269, 14]",[269  14   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
three broke within two month use,0,6,32,"[314, 439, 511, 59, 286, 44]",[314 439 511  59 286  44   0   0   0   0   0   0   0   0   0   0]
dont buy it,0,3,11,"[583, 150, 7]",[583 150   7   0   0   0   0   0   0   0   0   0   0   0   0   0]
father v battery dying,0,4,22,"[3494, 1093, 41, 1689]","[3494 1093   41 1689    0    0    0    0    0    0    0    0    0    0
    0    0]"
however ear pad come easily one week lost one,0,9,45,"[161, 49, 1694, 119, 321, 6, 287, 402, 6]","[ 161   49 1694  119  321    6  287  402    6    0    0    0    0    0
    0    0]"
call drop phone come will screen go black worst stop ringing intermittently,0,12,75,"[88, 595, 4, 119, 3495, 112, 21, 222, 51, 707, 1679, 3496]","[  88  595    4  119 3495  112   21  222   51  707 1679 3496    0    0
    0    0]"
horrible horrible protector,0,3,27,"[163, 163, 1754]","[ 163  163 1754    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
like nokia either,0,3,17,"[11, 524, 220]",[ 11 524 220   0   0   0   0   0   0   0   0   0   0   0   0   0]
reaching bottom row uncomfortable send end key expect be,0,9,56,"[3497, 1188, 1417, 1156, 1191, 154, 1166, 252, 695]","[3497 1188 1417 1156 1191  154 1166  252  695    0    0    0    0    0
    0    0]"
bought nokia cell phone week ago nightmare,0,7,42,"[140, 524, 229, 4, 287, 381, 3498]","[ 140  524  229    4  287  381 3498    0    0    0    0    0    0    0
    0    0]"
would take long describe bad customer service experience amazon,0,9,63,"[17, 124, 89, 1082, 15, 185, 12, 75, 396]","[  17  124   89 1082   15  185   12   75  396    0    0    0    0    0
    0    0]"
disappointing thing speakerphone,0,3,32,"[369, 31, 3499]","[ 369   31 3499    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
terrible car accept cassette,0,4,28,"[72, 153, 1746, 3500]","[  72  153 1746 3500    0    0    0    0    0    0    0    0    0    0
    0    0]"
product useless since enough charging current charge cellphone planning use with,0,11,80,"[30, 522, 149, 61, 685, 1761, 195, 1171, 3501, 44, 512]","[  30  522  149   61  685 1761  195 1171 3501   44  512    0    0    0
    0    0]"
say is,0,2,6,"[55, 165]",[ 55 165   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
stay away q,0,3,11,"[282, 242, 758]",[282 242 758   0   0   0   0   0   0   0   0   0   0   0   0   0]
used dirty,0,2,10,"[109, 710]",[109 710   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
unreliable service t mobile,0,4,27,"[876, 12, 74, 686]",[876  12  74 686   0   0   0   0   0   0   0   0   0   0   0   0]
good enough price,0,3,17,"[1, 61, 47]",[ 1 61 47  0  0  0  0  0  0  0  0  0  0  0  0  0]
bought two neither charge,0,4,25,"[140, 59, 1159, 195]","[ 140   59 1159  195    0    0    0    0    0    0    0    0    0    0
    0    0]"
look nice,1,2,9,"[48, 32]",[48 32  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
excellent tool especially paired phone auto answer,1,7,50,"[34, 696, 216, 1728, 4, 1680, 1762]","[  34  696  216 1728    4 1680 1762    0    0    0    0    0    0    0
    0    0]"
read other review problem it,1,5,28,"[1763, 803, 258, 66, 7]","[1763  803  258   66    7    0    0    0    0    0    0    0    0    0
    0    0]"
product cover important light sensor ear outlet,0,7,47,"[30, 492, 408, 277, 3502, 49, 757]","[  30  492  408  277 3502   49  757    0    0    0    0    0    0    0
    0    0]"
comfortable hand,1,2,16,"[142, 288]",[142 288   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
poor reliability,0,2,16,"[101, 3503]","[ 101 3503    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
it work,1,2,7,"[7, 14]",[ 7 14  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
take picture battery drop bar start beeping letting know dieing,0,10,63,"[124, 176, 41, 595, 227, 584, 3504, 1022, 76, 3505]","[ 124  176   41  595  227  584 3504 1022   76 3505    0    0    0    0
    0    0]"
terrible product waste money,0,4,28,"[72, 30, 84, 85]",[72 30 84 85  0  0  0  0  0  0  0  0  0  0  0  0]
last time buying you,0,4,20,"[122, 8, 879, 217]",[122   8 879 217   0   0   0   0   0   0   0   0   0   0   0   0]
far worked like charm,1,4,21,"[90, 133, 11, 456]",[ 90 133  11 456   0   0   0   0   0   0   0   0   0   0   0   0]
week far good,1,3,13,"[287, 90, 1]",[287  90   1   0   0   0   0   0   0   0   0   0   0   0   0   0]
but case best part is download picture laptop using ir even send picture laptop phone,1,15,85,"[807, 52, 18, 135, 165, 1740, 176, 1764, 251, 3506, 19, 1191, 176, 1764, 4]","[ 807   52   18  135  165 1740  176 1764  251 3506   19 1191  176 1764
    4    0]"
would recommend item,1,3,20,"[17, 40, 146]",[ 17  40 146   0   0   0   0   0   0   0   0   0   0   0   0   0]
choice headset year great sound good volume good noise cancellation,1,10,67,"[461, 27, 58, 3, 35, 1, 284, 1, 871, 3507]","[ 461   27   58    3   35    1  284    1  871 3507    0    0    0    0
    0    0]"
nice case feel good hand,1,5,24,"[32, 52, 118, 1, 288]",[ 32  52 118   1 288   0   0   0   0   0   0   0   0   0   0   0]
item received counterfeit,0,3,25,"[146, 334, 3508]","[ 146  334 3508    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
really good far probably best bt headset ever had,1,9,49,"[13, 1, 90, 132, 18, 1139, 27, 20, 390]","[  13    1   90  132   18 1139   27   20  390    0    0    0    0    0
    0    0]"
work fine,1,2,9,"[14, 141]",[ 14 141   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
received headset good time happy it,1,6,35,"[334, 27, 1, 8, 120, 7]",[334  27   1   8 120   7   0   0   0   0   0   0   0   0   0   0]
pleased see could replace well travled swivel holster blackberry flip,1,10,69,"[337, 50, 37, 705, 16, 3509, 3510, 1172, 1644, 1160]","[ 337   50   37  705   16 3509 3510 1172 1644 1160    0    0    0    0
    0    0]"
sister one also love it,1,5,23,"[739, 6, 23, 26, 7]",[739   6  23  26   7   0   0   0   0   0   0   0   0   0   0   0]
good quality,1,2,12,"[1, 24]",[ 1 24  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
far worst purchase made amazon,0,5,30,"[90, 51, 210, 28, 396]",[ 90  51 210  28 396   0   0   0   0   0   0   0   0   0   0   0]
excellent dual purpose headset,1,4,30,"[34, 3511, 1665, 27]","[  34 3511 1665   27    0    0    0    0    0    0    0    0    0    0
    0    0]"
excellent,1,1,9,[34],[34  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
work listening music cingular,0,4,29,"[14, 1715, 175, 889]","[  14 1715  175  889    0    0    0    0    0    0    0    0    0    0
    0    0]"
seems completely secure holding belt keeping iphone inside,1,8,58,"[421, 246, 1666, 1103, 699, 3512, 1185, 347]","[ 421  246 1666 1103  699 3512 1185  347    0    0    0    0    0    0
    0    0]"
bottowm line another worthless cheap gimmick sprint,0,7,51,"[3513, 130, 136, 852, 180, 3514, 1177]","[3513  130  136  852  180 3514 1177    0    0    0    0    0    0    0
    0    0]"
trouble volume,0,2,14,"[847, 284]",[847 284   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
good thing fit comfortably small ear,1,6,36,"[1, 31, 105, 869, 182, 49]",[  1  31 105 869 182  49   0   0   0   0   0   0   0   0   0   0]
warning buy,0,2,11,"[819, 150]",[819 150   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
pairing iphone could happier far,1,5,32,"[1182, 1185, 37, 886, 90]","[1182 1185   37  886   90    0    0    0    0    0    0    0    0    0
    0    0]"
open battery connection broken device turned off,0,7,48,"[1097, 41, 569, 1726, 228, 632, 312]","[1097   41  569 1726  228  632  312    0    0    0    0    0    0    0
    0    0]"
want clip going top ear causing discomfort,0,7,42,"[94, 684, 67, 316, 49, 3515, 1583]","[  94  684   67  316   49 3515 1583    0    0    0    0    0    0    0
    0    0]"
best headset ever,1,3,17,"[18, 27, 20]",[18 27 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
trust website expect helpful support,0,5,36,"[3516, 857, 252, 391, 864]","[3516  857  252  391  864    0    0    0    0    0    0    0    0    0
    0    0]"
loud glad say plantronics maintains flawless connection cell static normal use,1,11,78,"[593, 325, 55, 878, 3517, 3518, 569, 229, 1120, 1765, 44]","[ 593  325   55  878 3517 3518  569  229 1120 1765   44    0    0    0
    0    0]"
speaker low quality making ring tone sound cheap,0,8,48,"[1176, 201, 24, 458, 1150, 1151, 35, 180]","[1176  201   24  458 1150 1151   35  180    0    0    0    0    0    0
    0    0]"
fit comfortably came three size earbud tip,1,7,42,"[105, 869, 73, 314, 703, 1140, 697]","[ 105  869   73  314  703 1140  697    0    0    0    0    0    0    0
    0    0]"
bad reception,0,2,13,"[15, 183]",[ 15 183   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
product high quality chinese crap,0,5,33,"[30, 302, 24, 895, 324]",[ 30 302  24 895 324   0   0   0   0   0   0   0   0   0   0   0]
quite comfortable ear,1,3,21,"[97, 142, 49]",[ 97 142  49   0   0   0   0   0   0   0   0   0   0   0   0   0]
buy product fails,0,3,17,"[150, 30, 425]",[150  30 425   0   0   0   0   0   0   0   0   0   0   0   0   0]
everything product wrong first,0,4,30,"[60, 30, 318, 42]",[ 60  30 318  42   0   0   0   0   0   0   0   0   0   0   0   0]
pairing two device easy barely took couple minute started making call voice dialing feature,1,14,91,"[1182, 59, 228, 143, 333, 272, 338, 54, 313, 458, 88, 326, 1676, 306]","[1182   59  228  143  333  272  338   54  313  458   88  326 1676  306
    0    0]"
